Customer_ID,Gender,Age,City_Category,Stay_In_Current_City_Years,Marital_Status,Purchase
10001,M,18-25,B,1,1,18556
10002,M,18-25,C,4+,0,29214
10003,F,36-45,C,1,1,34938
10004,M,36-45,C,1,0,72339
10005,M,18-25,A,1,1,168398
10006,F,18-25,C,2,0,15244
10007,F,36-45,A,1,0,74785
10008,F,51-55,C,1,0,1432
10009,M,36-45,C,1,0,97992
10010,F,36-45,C,2,0,31323
10011,M,26-35,C,1,0,45060
10012,M,18-25,A,0,0,398877
10013,M,36-45,B,1,0,16143
10014,M,51-55,C,0,1,11416
10015,M,46-50,A,4+,1,57532
10016,M,26-35,A,1,1,77024
10017,M,18-25,C,3,0,83274
10018,F,26-35,C,0,1,3833
10019,M,36-45,B,4+,0,240880
10020,M,51-55,C,1,1,47151
10021,M,55+,C,1,1,6285
10022,M,18-25,A,2,0,21356
10023,M,36-45,C,2,0,24623
10024,M,36-45,C,2,1,43736
10025,M,18-25,A,4+,0,77416
10026,M,51-55,B,1,1,33661
10027,M,26-35,B,4+,0,57697
10028,F,18-25,A,2,0,35029
10029,M,26-35,C,4+,0,223637
10030,M,26-35,A,4+,0,10698
10031,M,26-35,C,4+,1,140616
10032,F,36-45,C,3,1,82626
10033,M,36-45,B,1,0,55606
10034,M,36-45,C,4+,1,61696
10035,M,18-25,C,1,1,40037
10036,M,26-35,A,1,0,239134
10037,M,26-35,C,4+,0,12625
10038,M,18-25,B,3,0,156689
10039,M,18-25,B,2,0,253930
10040,F,46-50,B,3,1,186307
10041,M,26-35,C,1,0,46931
10042,F,26-35,B,3,0,37043
10043,M,26-35,B,0,1,98133
10044,M,36-45,C,1,0,54021
10045,M,18-25,C,1,1,10222
10046,F,36-45,B,2,0,24617
10047,M,36-45,C,1,1,48159
10048,F,26-35,B,4+,0,205309
10049,F,18-25,C,3,0,20322
10050,M,26-35,A,0,0,51621
10051,M,26-35,C,1,0,19788
10052,M,36-45,B,0,0,43622
10053,M,26-35,C,3,0,113778
10054,M,26-35,C,3,0,10779
10055,M,51-55,C,2,1,6128
10056,M,18-25,C,4+,1,10310
10057,M,51-55,C,0,1,103621
10058,M,26-35,B,4+,0,43580
10059,M,26-35,C,4+,0,128261
10060,M,46-50,B,0,0,183642
10061,F,26-35,A,2,0,92316
10062,M,46-50,C,0,1,75961
10063,F,36-45,B,3,1,24211
10064,M,26-35,C,0,1,144025
10065,M,18-25,B,4+,0,97923
10066,F,26-35,B,3,1,112407
10067,M,26-35,A,2,1,50550
10068,M,26-35,B,1,1,5519
10069,M,26-35,B,1,0,315382
10070,M,18-25,B,0,1,105079
10071,F,36-45,A,1,0,66419
10072,F,55+,C,1,1,13491
10073,M,51-55,B,1,1,114393
10074,M,26-35,C,3,1,63332
10075,M,46-50,C,3,1,32630
10076,F,26-35,A,4+,0,14143
10077,M,26-35,B,2,1,35447
